Test Time (s),F(kg)      millistrain
4.281,000.00,000.00000
4.479,000.00,000.00000
4.68,000.00,000.00000
4.879,000.00,000.00000
5.08,000.00,000.00000
5.296,000.00,000.00000
5.481,000.00,000.00000
5.682,000.00,000.00000
5.898,000.00,000.00000
6.097,000.00,000.00000
6.297,000.00,000.00000
6.495,000.00,000.00000
6.696,000.00,000.00000
6.897,000.00,000.00000
7.096,000.11,000.00000
7.297,000.33,000.00000
7.511,000.55,000.00000
7.715,000.76,000.00000
7.915,001.10,000.00000
8.115,001.38,000.00000
8.313,001.66,000.00000
8.515,001.86,000.00000
8.714,001.96,000.00000
8.913,001.95,000.00000
9.115,001.94,000.00000
9.315,001.94,000.00000
9.516,001.93,000.00000
9.731,001.93,000.00000
9.931,001.96,000.00000
10.133,002.08,000.00000
10.331,002.24,000.00000
10.531,002.43,000.00000
10.731,002.63,000.00000
10.931,002.87,000.00000
11.128,003.11,000.00000
11.331,003.30,000.00000
11.747,003.49,000.00000
11.946,003.46,000.00000
12.147,003.43,000.00000
12.347,003.40,000.00000
12.548,003.39,000.00000
12.746,003.37,000.00000
12.947,003.36,000.000
13.366,003.50,000.00000
13.566,003.69,000.00000
13.765,003.85,000.00000
13.963,003.97,000.00000
14.163,004.15,000.00000
14.365,004.19,000.00000
14.565,004.21,000.00000
14.765,004.22,000.00000
14.965,004.17,000.00000
15.165,004.08,000.00000
15.581,003.96,000.00000
15.781,003.92,000.00000
15.98,003.89,000.00000
16.18,003.87,000.00000
16.382,003.99,000.00000
16.581,004.08,000.00000
16.781,004.16,000.00000
16.981,004.23,000.00000
17.197,004.32,000.00000
17.382,004.35,000.00000
17.598,004.29,000.00000
17.797,004.21,000.00000
17.997,004.14,000.00000
18.197,003.94,000.00000
18.398,003.84,000.00000
18.597,003.77,000.00000
18.796,003.72,000.00000
18.997,003.66,000.00000
19.213,003.63,000.00000
19.413,003.62,000.00000
19.616,003.75,000.00000
19.815,003.95,000.00000
20.015,004.02,000.00000
20.216,003.93,000.00000
20.415,003.88,000.00000
20.615,003.83,000.00000
20.816,003.77,000.00000
21.033,003.71,000.00000
21.231,003.56,000.00000
21.431,003.44,000.00000
21.631,003.37,000.00000
21.831,003.31,000.00000
22.031,003.27,000.00000
22.231,003.23,000.00000
22.431,003.20,000.00000
22.632,003.27,000.00000
22.831,003.44,000.00000
23.251,003.58,000.00000
23.45,003.57,000.00000
23.647,003.53,000.00000
23.846,003.47,000.00000
24.047,003.41,000.00000
24.246,003.34,000.00000
24.45,003.20,000.00000
24.65,003.08,000.00000
24.864,003.00,000.00000
25.067,002.95,000.00000
25.267,002.90,000.00000
