Test Time (s),F(kg)      millistrain
3.963,000.00,000.00000
4.165,000.00,000.00000
4.365,000.00,000.00000
4.562,000.00,000.00000
4.764,000.00,000.00000
4.964,000.00,000.00000
5.164,000.00,000.00000
5.38,000.00,000.00000
5.578,000.00,000.00000
5.781,000.02,000.00044
5.981,000.87,000.00138
6.18,001.97,000.00183
6.382,002.38,000.00180
6.581,002.34,000.00180
6.78,002.33,000.00180
6.998,002.33,000.00179
7.181,002.32,000.00179
7.398,002.31,000.00178
7.598,002.30,000.00190
7.795,002.66,000.00264
7.998,003.68,000.00359
8.197,004.98,000.00481
8.398,006.50,000.00588
8.597,007.81,000.00702
8.798,009.89,000.00810
8.999,011.03,000.00878
9.198,011.42,000.00886
9.398,011.40,000.008
9.816,011.37,000.00887
10.015,011.36,000.00887
10.214,011.35,000.00888
10.412,011.34,000.00923
10.615,011.92,000.01034
10.815,013.89,000.01138
11.013,015.09,000.0124
11.433,017.28,000.01433
11.631,018.38,000.01532
11.831,019.42,000.01617
12.032,020.32,000.01673
12.229,020.67,000.01674
12.433,020.63,000.01674
12.633,020.60,000.01674
12.831,020.57,000.01675
13.048,020.55,000.01675
13.233,020.53,000.01676
13.448,020.52,000.01685
13.648,020.78,000.01739
13.846,021.51,000.01814
14.047,022.30,000.01903
14.25,023.32,000.02017
14.446,024.58,000.02125
14.647,025.82,000.02231
14.85,027.00,000.02327
15.263,029.22,000.02455
15.463,029.34,000.02451
15.664,029.28,000.02450
15.864,029.22,000.02450
16.066,029.18,000.02451
16.265,029.15,000.02451
16.464,029.11,000.02452
16.665,029.09,000.02498
16.866,029.74,000.02608
17.066,031.47,000.02719
17.28,032.64,000.02825
17.483,033.49,000.02909
17.681,034.32,000.03002
17.881,035.23,000.03093
18.081,036.00,000.03168
18.283,036.56,000.03231
18.484,036.98,000.03277
18.679,037.10,000.03287
18.88,036.93,000.03297
19.297,036.63,000.03315
19.499,036.54,000.03324
19.697,036.45,000.03332
19.896,036.39,000.03377
20.1,037.18,000.03526
20.3,038.50,000.03645
20.5,039.65,000.03692
20.7,040.29,000.03692
20.915,040.91,000.03692
21.114,041.62,000.03692
21.314,042.29,000.03692
21.517,042.55,000.03692
21.713,042.33,000.03692
21.914,041.97,000.03692
22.114,041.69,000.03692
22.314,041.45,000.03692
22.514,041.25,000.03692
22.714,041.07,000.03692
22.93,040.91,000.03692
23.13,041.02,000.03692
23.332,041.47,000.03692
23.532,042.06,000.03692
23.732,042.88,000.03692
23.931,043.93,000.03692
24.132,044.79,000.03692
24.33,045.21,000.03692
24.747,045.51,000.03692
24.95,045.17,000.03692
25.15,044.61,000.03692
25.347,043.99,000.03692
25.55,043.66,000.03692
25.751,043.38,000.03692
25.95,043.13,000.03692
26.15,042.96,000.03692
26.351,043.73,000.03692
26.549,044.55,000.03692
26.764,045.26,000.03692
26.966,046.00,000.03692
27.167,046.50,000.03692
27.365,046.59,000.03692
27.566,046.42,000.03692
27.765,046.01,000.03692
27.964,045.30,000.03692
28.165,044.75,000.03692
28.381,044.30,000.03692
28.582,043.92,000.03692
28.782,043.58,000.03692
28.981,043.28,000.03692
29.181,043.30,000.03692
29.381,043.88,000.03692
29.584,044.77,000.03692
29.782,045.35,000.03692
29.981,045.89,000.03692
30.182,046.11,000.03692
30.381,045.99,000.03692
30.601,045.34,000.03692
30.8,09.50,000.03692
31.001,000.01,000.03692
31.198,000.01,000.03692
31.401,000.01,000.03692
31.6,000.01,000.03692
31.798,000.01,000.03692
32.001,000.01,000.03692
32.216,000.01,000.03692
32.415,000.01,000.03692
32.615,000.01,000.03692
32.818,000.01,000.03692
33.015,000.01,000.03692
