Test Time (s),F(kg)      millistrain
4.345,000.00,000.00000
4.546,000.00,000.00000
4.745,000.00,000.00000
4.946,000.00,000.00000
5.143,000.00,000.00000
5.347,000.00,000.00000
5.545,000.00,000.00000
5.763,000.00,000.00000
5.963,000.00,000.00000
6.161,000.00,000.00000
6.36,000.00,000.00000
6.562,000.00,000.00000
6.762,000.00,000.00000
6.961,000.00,000.00000
7.161,000.00,000.00000
7.38,000.00,000.00000
7.577,000.00,000.00000
7.778,000.00,000.00000
7.978,000.00,000.00000
8.179,000.01,000.00000
8.38,000.65,000.00000
8.58,001.90,000.00000
8.777,003.39,000.00000
8.978,004.11,000.00000
9.178,004.95,000.00000
9.38,005.57,000.00000
9.595,005.58,000.00000
9.795,005.56,000.00000
9.995,005.54,000.00000
10.194,005.53,000.00000
10.394,005.52,000.00000
10.594,005.53,000.00000
10.795,006.54,000.00000
10.996,007.37,000.00000
11.412,008.96,000.00000
11.611,009.76,000.00000
11.814,010.54,000.00000
12.012,011.36,000.00000
12.212,012.07,000.00000
12.413,012.29,000.00000
12.613,012.23,000.00000
12.813,012.17,000.00000
13.013,012.14,000.00000
13.213,012.11,000.00000
13.43,012.12,000.00000
13.63,012.65,000.00000
13.831,013.25,000.00000
14.029,014.06,000.00000
14.23,014.82,000.00000
14.43,015.48,000.00000
14.629,016.13,000.00000
14.83,016.81,000.00000
15.03,017.74,000.00000
15.23,018.32,000.00000
15.445,018.31,000.00000
15.646,018.22,000.00000
15.847,018.15,000.00000
16.045,018.10,000.00000
16.245,018.05,000.00000
16.447,018.11,000.00000
16.647,018.76,000.00000
16.845,019.31,000.00000
17.047,019.89,000.00000
17.464,020.55,000.00000
17.665,021.03,000.00000
17.862,021.59,000.00000
18.061,022.14,000.00000
18.264,022.64,000.00000
18.464,023.07,000.00000
18.661,023.46,000.000
19.081,023.19,000.00000
19.281,023.10,000.00000
19.481,023.03,000.00000
19.681,022.96,000.00000
19.882,023.18,000.00000
20.081,023.47,000.00000
20.281,023.75,000.00000
20.482,024.29,000.00000
20.698,024.72,000.00000
20.882,025.11,000.00000
21.296,026.15,000.00000
21.498,026.59,000.00000
21.699,026.96,000.00000
21.895,027.23,000.00000
22.096,027.50,000.00000
22.297,027.55,000.00000
22.512,027.38,000.00000
22.716,027.24,000.00000
22.899,027.12,000.00000
23.099,027.02,000.00000
23.512,027.27,000.00000
23.712,027.82,000.00000
23.913,028.25,000.00000
24.112,028.76,000.00000
24.313,029.35,000.00000
24.515,029.83,000.00000
24.731,030.12,000.00000
24.93,030.28,000.00000
25.133,030.39,000.00000
25.33,030.54,000.00000
25.53,030.61,000.00000
25.73,030.41,000.00000
25.929,030.23,000.00000
26.13,030.08,000.00000
26.349,029.95,000.00000
26.545,029.82,000.00000
26.749,029.71,000.00000
26.949,029.75,000.00000
27.149,030.17,000.00000
27.349,030.91,000.00000
27.549,031.30,000.00000
27.747,031.71,000.00000
27.95,031.99,000.00000
28.149,032.17,000.00000
28.35,032.38,000.00000
28.565,032.47,000.00000
28.763,032.48,000.00000
28.963,032.51,000.00000
29.164,032.25,000.00000
29.365,031.95,000.00000
29.563,031.77,000.00000
29.763,031.60,000.00000
29.964,031.44,000.00000
30.165,031.50,000.00000
30.382,031.85,000.00000
30.581,032.24,000.00000
30.78,032.46,000.00000
30.983,032.73,000.00000
31.182,032.87,000.00000
31.382,032.99,000.00000
31.582,033.14,000.00000
31.782,033.24,000.00000
31.982,033.28,000.00000
32.4,033.11,000.00000
32.597,032.84,000.00000
32.797,032.60,000.00000
32.997,032.38,000.00000
33.196,032.18,000.00000
33.398,031.99,000.00000
33.597,032.19,000.00000
33.813,032.57,000.00000
34.014,032.88,000.00000
34.213,033.14,000.00000
34.414,033.33,000.00000
34.613,033.44,000.00000
34.815,033.50,000.00000
35.014,033.46,000.00000
35.215,033.33,000.00000
35.416,033.08,000.00000
35.617,032.50,000.00000
35.816,032.19,000.00000
36.03,031.90,000.00000
36.231,031.64,000.00000
36.43,031.41,000.00000
36.63,031.20,000.00000
36.83,031.39,000.00000
37.03,031.52,000.00000
37.231,031.63,000.00000
37.433,031.76,000.00000
37.631,032.01,000.00000
37.848,032.06,000.00000
38.05,032.07,000.00000
38.25,032.01,000.00000
38.45,031.78,000.00000
38.65,031.36,000.00000
38.849,030.82,000.00000
39.05,029.94,000.00000
39.25,029.15,000.00000
39.45,028.55,000.00000
39.647,027.83,000.0000
40.066,027.10,000.00000
40.265,027.25,000.00000
40.465,027.83,000.00000
40.665,028.09,000.00000
40.864,028.22,000.00000
41.065,028.08,000.00000
41.266,027.73,000.00000
41.465,025.01,000.00000
41.665,00.01,000.00000
41.881,000.01,000.00000
42.084,000.01,000.00000
42.281,000.01,000.00000
42.482,000.01,000.00000
42.681,000.00,000.00000
42.883,000.01,000.00000
43.081,000.01,000.00000
43.283,000.01,000.00000
43.498,000.01,000.00000
43.699,000.01,000.00000
43.899,000.00,000.00000
44.1,000.01,000.00000
44.299,000.01,000.00000
