Test Time (s),F(kg)      millistrain
4.322,"0.000039006,0.0000663
0.06,0.0000622
0.06,0.0000636
0.06,0.0000641
0.06,0.0000647
0.06,0.0000646
0.06,0.0000651
0.06,0.0000655
0.06,0.0000663
0.06,0.0000622
0.06,0.0000636
0.06,0.0000641
0.06,0.0000647
0.06,0.0000646
0.06,0.0000651
0.06,0.0000655
0.06,0.0000663
0.06,-0.00,"
4.506,"-0.0000009
-0.01,"
4.688,"-0.0000015
-0.00,"
4.872,"-0.0000017
-0.00,"
5.056,"-0.0000020
0.00,"
5.239,"-0.0000023
-0.00,"
5.422,"-0.0000031
-0.00,"
5.606,"-0.0000036
-0.00,"
5.789,"-0.0000033
-0.00,"
5.972,"-0.0000040
0.00,"
6.156,"-0.0000042
-0.00,"
6.338,"-0.0000044
-0.00,"
6.522,"-0.0000048
-0.00,"
6.722,"-0.0000052
-0.00,"
6.907,"-0.0000058
-0.00,"
7.089,"-0.0000056
-0.00,"
7.273,"-0.0000063
-0.00,"
7.452,"-0.0000084
0.00,"
7.639,"-0.0000137
0.00,"
7.823,"-0.0000049
0.00,"
8.005,"-0.0000045
-0.00,"
8.189,"-0.0000040
-0.00,"
8.375,"-0.0000035
-0.00,"
8.556,"-0.0000033
-0.00,"
8.74,"-0.0000029
0.00,"
8.939,"-0.0000019
0.00,"
9.123,"-0.0000012
0.00,"
9.306,"0.0000000
-0.00,"
9.49,"0.0000010
0.00,"
9.673,"0.0000020
0.00,"
9.856,"0.0000030
0.00,"
10.039,"0.0000040
0.00,"
10.223,"0.0000050
0.00,"
10.407,"0.0000064
0.00,"
10.59,"0.0000078
0.00,"
10.79,"0.0000086
0.00,"
10.973,"0.0000100
0.00,"
11.156,"0.0000118
-0.00,"
11.34,"0.0000133
0.00,"
11.523,"0.0000152
0.00,"
11.706,"0.0000166
0.00,"
11.89,"0.0000186
0.00,"
12.072,"0.0000200
0.00,"
12.256,"0.0000213
0.00,"
12.44,"0.0000228
0.00,"
12.623,"0.0000242
0.00,"
12.807,"0.0000252
0.00,"
12.99,"0.0000267
0.00,"
13.19,"0.0000282
0.00,"
13.373,"0.0000292
-0.00,"
13.557,"0.0000307
-0.00,"
13.74,"0.0000319
0.00,"
