Test Time (s),F(kg)      millistrain
3.693,"-0.00,0,-0.0000236
-0.00,-0.0000237
-0.00,0,-0.0000236
-0.00,-0.0000238
-0.00,-0.0000238
-0.00,-0.0000239
-0.00,-0.0000239
-0.00,-0.0000236
-0.00,-0.0000237
-0.00,0,-0.0000236
-0.00,-0.0000238
-0.00,-0.0000238
-0.00,-0.0000239
-0.00,-0.0000239
-0.00,-0.0000236
-0.00,-0.0000237
-0.00,-0.00,"
3.895,"-0.0000008
0.00,"
4.077,"-0.0000013
0.00,"
4.26,"-0.0000019
-0.00,"
4.445,"-0.0000026
0.00,"
4.628,"-0.0000027
0.00,"
4.81,"-0.0000030
0.00,"
4.995,"-0.0000034
0.00,"
5.177,"-0.0000034
-0.00,"
5.361,"-0.0000037
0.00,"
5.544,"-0.0000043
-0.00,"
5.728,"-0.0000042
0.01,"
5.911,"-0.0000042
0.00,"
6.094,"-0.0000045
0.00,"
6.278,"-0.0000046
0.00,"
6.477,"-0.0000051
-0.00,"
6.661,"-0.0000054
-0.00,"
6.844,"-0.0000056
0.00,"
7.028,"-0.0000055
0.00,"
7.212,"-0.0000047
-0.00,"
7.394,"-0.0000043
-0.00,"
7.577,"-0.0000040
0.00,"
7.761,"-0.0000038
-0.00,"
7.944,"-0.0000035
-0.00,"
8.128,"-0.0000030
0.00,"
8.311,"-0.0000025
0.00,"
8.495,"-0.0000021
0.00,"
8.695,"-0.0000018
-0.00,"
8.878,"-0.0000008
0.00,"
9.061,"-0.0000001
0.00,"
9.244,"0.0000010
0.00,"
9.428,"0.0000018
-0.00,"
9.611,"0.0000027
0.00,"
9.795,"0.0000035
0.00,"
9.978,"0.0000042
0.00,"
10.162,"0.0000049
-0.00,"
10.345,"0.0000050
-0.00,"
10.528,"0.0000060
-0.00,"
10.712,"0.0000065
0.00,"
10.895,"0.0000072
0.00,"
11.095,"0.0000079
0.00,"
11.278,"0.0000081
-0.00,"
11.462,"0.0000085
0.00,"
11.646,"0.0000092
0.00,"
11.828,"0.0000090
-0.00,"
12.012,"0.0000092
-0.00,"
12.195,"0.0000093
0.00,"
12.378,"0.0000098
0.00,"
12.562,"0.0000103
-0.00,"
12.745,"0.0000105
-0.00,"
12.929,"0.0000110
0.00,"
13.112,"0.0000113
-0.00,"
13.295,"0.0000117
0.00,"
13.495,"0.0000125
0.00,"
13.663,"0.0000125
0.00,"
13.862,"0.0000131
-0.00,"
14.046,"0.0000132
-0.00,"
14.229,"0.0000139
0.00,"
14.412,"0.0000146
-0.00,"
14.596,"0.0000153
0.00,"
14.779,"0.0000155
-0.00,"
14.962,"0.0000156
0.00,"
15.146,"0.0000170
-0.00,"
15.328,"0.0000176
0.00,"
15.512,"0.0000178
0.00,"
15.696,"0.0000187
0.00,"
15.896,"0.0000194
-0.00,"
16.079,"0.0000202
0.00,"
16.263,"0.0000202
0.00,"
16.446,"0.0000212
0.00,"
16.629,"0.0000220
0.00,"
16.813,"0.0000227
0.00,"
16.995,"0.0000232
0.00,"
17.179,"0.0000240
0.00,"
17.363,"0.0000246
0.00,"
17.546,"0.0000248
0.00,"
17.73,"0.0000250
0.00,"
17.913,"0.0000252
0.00,"
18.096,"0.0000252
0.00,"
18.28,"0.0000256
0.00,"
18.48,"0.0000257
0.00,"
18.663,"0.0000262
0.00,"
18.846,"0.0000266
0.00,"
19.029,"0.0000270
0.00,"
19.212,"0.0000269
-0.00,"
19.397,"0.0000274
-0.00,"
19.58,"0.0000274
0.00,"
19.763,"0.0000275
0.00,"
19.946,"0.0000276
0.00,"
20.13,"0.0000279
0.00,"
20.313,"0.0000283
0.00,"
20.496,"0.0000286
0.00,"
20.679,"0.0000289
0.00,"
20.863,"0.0000292
0.00,"
21.046,"0.0000291
0.00,"
21.247,"0.0000294
0.00,"
21.43,"0.0000294
0.01,"
21.613,"0.0002579
0.67,"
21.797,"0.0011099
1.88,"
21.979,"0.0018362
2.99,"
22.164,"0.0023899
3.45,"
22.347,"0.0023892
3.43,"
22.53,"0.0023793
3.42,"
22.713,"0.0023714
3.42,"
22.896,"0.0023640
3.41,"
23.08,"0.0023577
3.41,"
23.264,"0.0023523
3.40,"
23.446,"0.0023471
3.39,"
23.631,"0.0023422
3.39,"
23.814,"0.0023380
3.39,"
23.997,"0.0023336
3.3"
24.197,"9,0.0023295
3.38,"
24.38,"0.0023276
3.39,"
24.565,"0.0025357
4.21,"
24.747,"0.0042113
6.83,"
24.931,"0.0051896
7.49,"
25.113,"0.0051702
7.45,"
25.297,"0.0051449
7.43,"
25.481,"0.0051272
7.41,"
25.664,"0.0051151
7.41,"
25.848,"0.0051030
7.40,"
26.03,"0.0051831
7.67,"
26.214,"0.0055254
8.42,"
26.397,"0.0068016
10.58,"
26.597,"0.0087897
13.15,"
26.78,"0.0104276
15.21,"
26.964,"0.0119919
16.99,"
27.148,"0.0129376
18.01,"
27.331,"0.0133760
18.25,"
27.514,"0.0133423
18.20,"
27.698,"0.0133152
18.17,"
27.881,"0.0132925
18.15,"
28.064,"0.0132713
18.13,"
28.247,"0.0132495
18.11,"
28.432,"0.0132443
18.13,"
28.614,"0.0133118
18.27,"
28.798,"0.0135317
18.79,"
28.998,"0.0148396
21.13,"
29.181,"0.0174117
24.16,"
29.365,"0.0206004
26.50,"
29.548,"0.0560506
27.93,"
29.732,"0.0560506
28.68,"
29.915,"0.0560506
28.58,"
30.098,"0.0560506
28.44,"
30.282,"0.0560506
28.35,"
30.465,"0.0560506
28.28,"
30.648,"0.0560506
28.20,"
30.83,"0.0560506
28.15,"
31.014,"0.0560506
28.11,"
31.199,"0.0560506
28.29,"
31.382,"0.0560506
28.74,"
31.581,"0.0560506
29.92,"
31.764,"0.0560506
31.41,"
31.948,"0.0560506
32.48,"
32.132,"0.0560506
33.87,"
32.315,"0.0560506
35.28,"
32.499,"0.0560506
36.27,"
32.682,"0.0560506
36.64,"
32.865,"0.0560506
36.16,"
33.048,"0.0560506
35.83,"
33.232,"0.0560506
35.58,"
33.415,"0.0560506
35.38,"
33.599,"0.0560506
35.22,"
33.798,"0.0560506
35.49,"
33.982,"0.0560506
37.17,"
34.165,"0.0560506
39.71,"
34.348,"0.0560506
40.68,"
34.532,"0.0560506
40.79,"
34.716,"0.0536593
40.07,"
34.898,"0.0074451
37.38,"
35.082,"0.0067482
34.63,"
35.265,"0.0065882
31.94,"
35.448,"0.0065028
28.41,"
35.632,"0.0410008
1.98,"
35.815,"0.0560506
0.05,"
