Test Time (s),F(kg)      millistrain
3.715,"-0.0000158
000130
-0.00,-0.0000136
0.00,-0.0000138
-0.00,-0.0000142
-0.00,-0.0000145
0.00,"
3.9,"-0.0000052
-0.00,"
4.082,"-0.0000064
0.00,"
4.268,"-0.0000072
-0.00,"
4.448,"-0.0000078
0.00,"
4.632,"-0.0000085
0.00,"
4.817,"-0.0000086
-0.00,"
4.999,"-0.0000085
0.00,"
5.183,"-0.0000084
0.00"
5.366,",-0.0000079
0.00"
5.554,",-0.0000075
0.0"
5.649,"0,-0.0000073
"
5.833,"-0.00,-0.0000067
"
6.016,"0.00,-0.0000063
"
6.201,"-0.00,-0.0000061
"
6.383,"-0.00,-0.0000058
"
6.567,"0.00,-0.0000061
"
6.768,"0.00,-0.0000062
"
6.949,"0.00,-0.0000059
"
7.133,"0.00,-0.0000060
"
7.317,"0.00,-0.0000058
"
7.5,"0.00,-0.0000058
"
7.683,"0.00,-0.0000060
"
7.867,"0.00,-0.0000058
"
8.05,"-0.00,-0.0000053
"
8.234,"0.00,-0.0000053
"
8.418,"0.00,-0.0000051
"
8.6,"0.00,-0.0000050
"
8.783,"0.00,-0.0000049
"
8.967,"-0.00,-0.0000050
"
9.149,"-0.00,-0.000004"
9.334,"6
0.00,-0.000004"
9.516,"5
0.00,-0.00000"
9.717,"41
0.00,-0.0000042
"
9.901,"0.00,-0.0000040
"
10.084,"0.00,-0.0000038
"
10.267,"0.00,-0.0000035
"
10.45,"0.00,-0.0000032
"
10.633,"0.00,-0.0000029
"
10.818,"-0.00,-0.0000031
"
11.0,"0.00,-0.0000028
"
11.185,"0.00,-0.0000024
"
11.367,"0.00,-0.0000025
"
11.551,"0.00,-0.0000025
"
11.735,"0.00,-0.0000021
"
11.917,"0.00,-0.0000024
"
12.101,"0.00,-0.0000025
"
12.301,"0.00,-0.0000023
"
12.484,"0.00,-0.0000019
"
12.667,"0.01,-0.0000020
"
12.851,"0.00,-0.0000017
"
13.034,"0.00,-0.0000016
"
13.217,"0.00,-0.0000017
"
13.401,"0.01,-0.0000015
"
13.584,"0.00,-0.0000017
"
13.767,"0.00,-0.0000015
"
13.952,"0.00,-0.0000016
"
14.135,"0.01,-0.0000019
"
14.318,"0.01,-0.0000023
"
14.501,"0.00,-0.0000025
"
14.685,"0.00,-0.0000031
"
14.868,"0.00,-0.0000035
"
15.051,"0.00,-0.0000039
"
15.252,"0.00,-0.0000044
"
15.418,"0.00,-0.0000048
"
15.618,"0.00,-0.0000049
"
15.801,"0.00,-0.0000053
"
15.984,"0.00,-0.0000054
"
16.167,"0.01,-0.0000056
"
16.352,"0.00,-0.0000059
"
16.535,"0.01,-0.0000061
"
16.718,"0.00,-0.0000060
"
16.901,"0.00,-0.0000061
"
17.084,"0.00,-0.0000058
"
17.268,"0.00,-0.0000058
"
17.452,"0.01,-0.0000056
"
17.634,"0.00,-0.0000055
"
17.818,"0.00,0.0000105
"
18.001,"0.07,0.0021495
"
18.185,"3.31,0.0049976
"
18.368,"6.13,0.0049419
"
18.552,"6.07,0.0048793
"
18.752,"6.04,0.0048387
"
18.935,"6.02,0.0048073
"
19.118,"6.01,0.0047866
"
19.301,"6.02,0.0064120
"
19.485,"8.59,0.0117399
"
19.669,"14.17,0.0536104
"
19.852,"16.58,0.0587241
"
20.036,"16.50,0.0587241
"
20.218,"16.44,0.0587241
"
20.402,"16.40,0.0587241
"
20.586,"17.85,0.0587241
"
20.769,"22.87,0.0587241
"
20.952,"25.44,0.0587241
"
21.136,"25.37,0.0587241
"
21.318,"25.20,0.0587241"
21.502,"
25.08,0.0587241"
21.685,"
25.00,0.0587241"
21.886,"
27.15,0.0587241
"
22.069,"31.54,0.0587241
"
22.252,"33.03,0.0587241
"
22.435,"32.57,0.0587241
"
22.619,"32.19,0.0587241
"
22.802,"31.94,0.0587241
"
22.986,"31.79,0.0587241
"
23.169,"34.20,0.0587241
"
23.352,"37.41,0.0587241
"
23.536,"38.38,0.0587241
"
23.719,"37.43,0.0587241
"
23.903,"36.84,0.0587241
"
24.086,"36.41,0.0587241
"
24.27,"36.39,0.0587241
"
24.469,"39.72,0.0587241
"
24.653,"40.57,0.0587241
"
24.836,"7.16,0.0587241
"
25.019,"0.01,0.0587241
"
25.204,"0.01,0.0587241
"
25.386,"0.01,0.0587241
"
25.569,"0.01,0.0587241
"
25.752,"0.01,0.0587241
"
25.936,"0.01,0.0587241
"
26.119,"0.01,0.0587241
"
26.303,"0.01,0.0587241
"
26.486,"0.01,0.0587241
"
26.67,"0.01,0.0587241
"
26.853,"0.01,0.0587241
"
27.037,"0.01,0.0587241
"
27.22,"0.01,0.0587241
"
27.403,"0.01,0.0587241
"
27.587,"0.01,0.0587241
"
27.786,"0.00,0.0587241
"
27.969,"0.01,0.0587241
"
28.153,"0.00,0.0587241
"
28.337,"0.00,0.0587241
"
28.519,"0.01,0.0587241
"
28.702,"0.01,0.0587241
"
28.887,"0.00,0.0587241
"
29.07,"0.01,0.0587241
"
