Test Time (s),F(kg)      millistrain
3.765,"0.0058511
0004417
-0.00,0.0003292
-0.00,0.0002909
-0.00,0.0001820
-0.00,0.00,"
3.949,"0.0008707
0.00,"
4.132,"0.0012275
-0.00,"
4.316,"0.0015826
-0.00,"
4.498,"0.0030687
-0.00,"
4.682,"0.0032849
-0.00,"
4.865,"0.0033169
-0.00,"
5.049,"0.0033844
0.00,"
5.232,"0.0035006
-0.01,"
5.416,"0.0035614
-0.00,"
5.599,"0.0034563
-0.00,"
5.781,"0.0033899
0.00,"
5.965,"0.0035273
-0.00,"
6.149,"0.0035449
-0.00,"
6.331,"0.0035606
-0.00,"
6.515,"0.0035751
0.00,"
6.699,"0.0036798
0.00,"
6.882,"0.0037845
-0.00,"
7.082,"0.0038565
0.00,"
7.265,"0.0041215
-0.00,"
7.448,"0.0048984
-0.00,"
7.631,"0.0044049
-0.00,"
7.815,"0.0043528
-0.00,"
7.998,"0.0044213
-0.00,"
8.181,"0.0044091
-0.00,"
8.364,"0.0043480
-0.00,"
8.549,"0.0043077
-0.00,"
8.733,"0.0042849
-0.00,"
8.916,"0.0042646
-0.00,"
9.1,"0.0042387
-0.00,"
9.282,"0.0040309
-0.00,"
9.465,"0.0036294
-0.00,"
9.65,"0.0036422
-0.00,"
9.833,"0.0036664
-0.00,"
10.033,"0.0034560
-0.00,"
10.199,"0.0034429
-0."
10.299,"00,0.0034889
"
10.482,"-0.00,0.0034800
"
10.666,"-0.00,0.0034434
"
10.849,"-0.02,0.0034853
"
11.032,"-0.04,0.0034678
"
11.215,"-0.02,0.0032993
"
11.4,"0.00,0.0033408
"
11.582,"-0.00,0.0034019
"
11.766,"-0.00,0.0034127
"
11.949,"0.01,0.0033979
"
12.148,"0.00,0.0033897
"
12.332,"-0.00,0.0032278
"
12.516,"0.00,0.0031437
"
12.7,"-0.02,0.0031302
"
12.882,"-0.00,0.0031449
"
13.066,"-0.00,0.0031482
"
13.249,"-0.00,0.0030936
"
13.432,"-0.00,0.0031108
"
13.616,"-0.00,0.0031149
"
13.8,"-0.00,0.0030996
"
13.983,"-0.00,0.0030969
"
14.166,"0.00,0.0030838
"
14.35,"-0.00,0.0030887
"
14.533,"-0.00,0.0029742
"
14.716,"-0.00,0.0029173
"
14.9,"-0.00,0.0029233
"
15.082,"-0.00,0.0029183
"
15.267,"-0.00,0.0029006
"
15.45,"-0.00,0.0028453"
15.633,"
-0.00,0.0028442"
15.816,"
-0.00,0.0028483
"
16.0,"-0.00,0.0027642
"
16.2,"-0.00,0.0026974
"
16.384,"-0.00,0.0025568
"
16.569,"-0.00,0.0025379
"
16.751,"-0.00,0.0024916
"
16.933,"-0.00,0.0024535
"
17.116,"-0.00,0.0024304
"
17.302,"0.00,0.0023918
"
17.485,"-0.00,0.0024373
"
17.667,"-0.00,0.0024478
"
17.85,"-0.00,0.0023992
"
18.034,"-0.00,0.0023764
"
18.217,"-0.00,0.0022371
"
