Test Time (s),F(kg)      millistrain
3.696,"0.00001500.0000187
0.00,0.0000190
0.00,0.0000184
0.00,0.0000182
0.00,-0.00,"
3.88,"-0.0000005
0.00,"
4.063,"-0.0000009
-0.00,"
4.246,"-0.0000011
-0.00,"
4.429,"-0.0000014
-0.00,"
4.613,"-0.0000014
-0.00,"
4.797,"-0.0000014
0.00,"
4.979,"-0.0000013
-0.00,"
5.163,"-0.0000017
-0.00,"
5.364,"-0.0000021
-0.00,"
5.546,"-0.0000024
-0.00,"
5.73,"-0.0000020
0.00,"
5.913,"-0.0000025
0.00,"
6.096,"-0.0000023
0.00,"
6.279,"-0.0000008
-0.00,"
6.463,"-0.0000002
0.00,"
6.646,"0.0000001
-0.00,"
6.83,"0.0000007
-0.00,"
7.013,"0.0000012
0.00,"
7.197,"0.0000022
-0.00,"
7.38,"0.0000030
0.00,"
7.564,"0.0000040
-0.00,"
7.746,"0.0000042
0.00,"
7.931,"0.0000046
-0.00,"
8.114,"0.0000033
0.00,"
8.297,"0.0000075
0.00,"
8.496,"0.0000074
0.00,"
8.668,"0.0000091
0.00,"
8.864,"0.0000076
0.00,"
9.046,"0.0000112
0.00,"
9.23,"0.0000117
0.00,"
9.413,"0.0000132
0.00,"
9.598,"0.0000154
-0.00,"
9.78,"0.0000169
0.00,"
9.964,"0.0000159
-0.00,"
10.147,"0.0000170
-0.00,"
10.33,"0.0000180
-0.00,"
10.513,"0.0000194
0.00,"
10.697,"0.0000201
-0.00,"
10.88,"0.0000197
0.00,"
11.064,"0.0000207
-0.00,"
11.246,"0.0000226
0.00,"
11.431,"0.0000235
-0.00,"
11.63,"0.0000249
0.00,"
11.814,"0.0000261
0.00,"
11.998,"0.0000276
0.00,"
12.181,"0.0000286
-0.00,"
12.363,"0.0000294
0.00,"
12.546,"0.0000302
0.00,"
12.73,"0.0000310
0.00,"
12.914,"0.0000320
-0.00,"
13.098,"0.0000329
0.00,"
13.281,"0.0000339
-0.00,"
13.464,"0.0000347
-0.00,"
13.648,"0.0000358
-0.00,"
13.83,"0.0000371
-0.00,"
14.013,"0.0000382
-0.00,"
14.197,"0.0000396
0.00,"
14.381,"0.0000406
-0.00,"
14.564,"0.0000420
-0.00,"
14.748,"0.0000428
0.00,"
14.947,"0.0000439
0.00,"
15.131,"0.0000456
0.00,"
15.314,"0.0000468
-0.00,"
15.497,"0.0000474
0.00,"
15.681,"0.0000472
-0.00,"
15.864,"0.0000492
-0.00,"
16.048,"0.0000505
0.00,"
16.23,"0.0000521
0.00,"
16.417,"0.0000530
-0.00,"
16.597,"0.0000542
-0.00,"
16.784,"0.0000552
0.00,"
16.964,"0.0000562
0.00,"
17.147,"0.0005333
1.41,"
17.33,"0.0018343
5.83,"
17.514,"0.0015774
5.90,"
17.697,"0.0014607
5.91,"
17.882,"0.0024808
9.56,"
18.065,"0.0034092
15.06,"
18.248,"0.0028186
15.10,"
18.431,"0.0025476
15.07,"
18.615,"0.0033901
18.34,"
18.798,"0.0041187
23.75,"
18.998,"0.0031464
23.71,"
19.183,"0.0026637
23.63,"
19.365,"0.0030441
26.08,"
19.548,"0.0034148
31.60,"
19.732,"0.0023596
31.41,"
19.914,"0.0019131
31.13,"
20.097,"0.0020804
32.81,"
20.281,"0.0024713
37.63,"
20.465,"0.0015322
36.44,"
20.649,"0.0011693
35.64,"
20.831,"0.0010028
35.29,"
21.015,"0.0012888
38.56,"
21.198,"0.0012146
40.02,"
21.382,"0.0008238
38.28,"
21.565,"0.0006409
37.16,"
21.749,"0.0005459
36.44,"
21.932,"0.0004883
35.94,"
22.132,"0.0005594
38.01,"
22.316,"0.0067052
35.52,"
22.499,"0.0599330
0.36,"
22.682,"0.0599330
0.01,"
22.865,"0.0599330
0.01,"
23.049,"0.0599330
0.00,"
23.232,"0.0599330
0.00,"
23.416,"0.0599330
0.00,"
23.599,"0.0599330
0.00,"
23.783,"0.0599330
0.00,"
23.966,"0.0599330
0.00,"
24.149,"0.0599330
0.00,"
24.332,"0.0599330
0.00,"
24.515,"0.0599330
0.00,"
24.699,"0.0599330
0.00,"
24.883,"0.0599330
0.00,"
25.066,"0.0599330
0.00,"
25.266,"0.0599330
0.00,"
25.449,"0.0599330
0.00,"
25.633,"0.0599330
0.00,"
25.816,"0.0599330
0.00,"
25.999,"0.0599330
-0.00,"
26.182,"0.0599330
0.00,"
26.365,"0.0599330
0.00,"
26.548,"0.0599330
-0.00,"
26.732,"0.0599330
-0.00,"
26.916,"0.0599330
0.00,"
27.099,"0.0599330
-0.00,"
