Test Time (s),F(kg)      millistrain
3.735,"0.0000073
0,0.0000144
-0.00,0.0000150
-0.00,0.0000156
-0.00,0.0000165
0.00,0.0000177
0.0000123
0.00,0.0000127
-0.00,0.0000136
-0.00,0.0000144
-0.00,0.0000150
-0.00,0.0000156
-0.00,0.0000165
0.00,0.0000177
-0.00,"
3.918,"0.0000008
0.00,"
4.102,"0.0000014
0.00,"
4.285,"0.0000017
-0.00,"
4.468,"0.0000017
-0.00,"
4.652,"0.0000023
0.00,"
4.834,"0.0000015
0.00,"
5.018,"0.0000009
-0.00,"
5.202,"0.0000001
-0.00,"
5.385,"-0.0000001
0.00,"
5.585,"0.0000000
-0.00,"
5.768,"0.0000003
-0.00,"
5.951,"0.0000011
-0.00,"
6.136,"0.0000013
-0.00,"
6.319,"0.0000014
-0.00,"
6.503,"0.0000015
0.00,"
6.685,"0.0000017
0.00,"
6.868,"0.0000015
-0.00,"
7.052,"0.0000019
-0.00,"
7.236,"0.0000024
0.00,"
7.419,"0.0000033
-0.00,"
7.602,"0.0000036
-0.00,"
7.787,"0.0000035
-0.00,"
7.969,"0.0000035
-0.00,"
8.152,"0.0000041
-0.00,"
8.336,"0.0000052
0.00,"
8.519,"0.0000054
-0.00,"
8.702,"0.0000062
-0.00,"
8.903,"0.0000068
-0.00,"
9.085,"0.0000069
-0.00,"
9.269,"0.0000079
-0.00,"
9.453,"0.0000091
-0.00,"
9.636,"0.0000098
-0.00,"
9.819,"0.0000105
-0.00,"
10.002,"0.0000116
-0.00,"
10.185,"0.0000124
0.00,"
10.369,"0.0000140
0.00,"
10.552,"0.0000148
-0.00,"
10.735,"0.0000156
0.00,"
10.919,"0.0000163
-0.00,"
11.103,"0.0000177
0.00,"
11.287,"0.0000181
-0.00,"
11.47,"0.0000192
-0.00,"
11.653,"0.0000195
-0.00,"
11.836,"0.0000202
0.00,"
12.036,"0.0000206
-0.00,"
12.22,"0.0000216
-0.00,"
12.403,"0.0000219
-0.00,"
12.586,"0.0000226
0.00,"
12.769,"0.0000229
-0.00,"
12.953,"0.0000236
-0.00,"
13.136,"0.0000242
-0.00,"
13.319,"0.0000247
-0.00,"
13.503,"0.0000252
0.00,"
13.686,"0.0000251
-0.00,"
13.869,"0.0000255
-0.00,"
14.052,"0.0000255
-0.00,"
14.236,"0.0000256
0.00,"
14.421,"0.0000255
-0.00,"
14.603,"0.0000253
-0.00,"
14.786,"0.0000258
-0.00,"
14.97,"0.0000257
0.00,"
15.171,"0.0000249
-0.00,"
15.353,"0.0000248
0.00,"
15.536,"0.0001371
0.23,"
15.72,"0.0002169
0.36,"
15.904,"0.0002054
0.35,"
16.087,"0.0002021
0.35,"
16.271,"0.0001961
0.34,"
16.453,"0.0008916
1.85,"
16.637,"0.0036504
7.13,"
16.821,"0.0043214
8.40,"
17.003,"0.0042296
8.35,"
17.187,"0.0041653
8.33,"
17.37,"0.0041160
8.31,"
17.553,"0.0040884
8.34,"
17.737,"0.0051933
10.58,"
17.921,"0.0080168
15.60,"
18.104,"0.0090138
17.47,"
18.287,"0.0087172
17.39,"
18.471,"0.0085289
17.34,"
18.654,"0.0083922
17.30,"
18.838,"0.0083562
17.46,"
19.021,"0.0109540
20.19,"
19.204,"0.0596952
23.96,"
19.404,"0.0600310
25.95,"
19.588,"0.0600310
25.91,"
19.771,"0.0600310
25.80,"
19.955,"0.0600310
25.72,"
20.137,"0.0600310
25.65,"
20.32,"0.0600310
25.79,"
20.505,"0.0600310
28.11,"
20.687,"0.0600310
31.37,"
20.872,"0.0600310
33.37,"
21.054,"0.0600310
33.01,"
21.238,"0.0600310
32.73,"
21.421,"0.0600310
32.53,"
21.604,"0.0600310
32.37,"
21.787,"0.0600310
32.56,"
21.971,"0.0600310
35.00,"
22.155,"0.0600310
37.60,"
22.338,"0.0600310
38.26,"
22.521,"0.0600310
37.32,"
22.721,"0.0600310
36.72,"
22.904,"0.0600310
36.30,"
23.088,"0.0600310
35.96,"
23.272,"0.0600310
35.85,"
23.455,"0.0600310
36.87,"
23.638,"0.0600310
38.82,"
23.821,"0.0600310
40.39,"
24.005,"0.0600310
39.44,"
24.189,"0.0600310
38.19,"
24.371,"0.0600310
37.39,"
24.554,"0.0600310
36.81,"
24.738,"0.0600310
36.34,"
24.922,"0.0600310
35.99,"
25.105,"0.0600310
36.92,"
25.288,"0.0600310
38.65,"
25.471,"0.0600310
18.19,"
25.672,"0.0600310
0.01,"
25.855,"0.0600310
0.00,"
26.038,"0.0600310
0.01,"
26.222,"0.0600310
0.00,"
26.406,"0.0600310
0.00,"
26.588,"0.0600310
0.00,"
26.774,"0.0600310
0.00,"
26.955,"0.0600310
0.00,"
27.139,"0.0600310
0.00,"
27.321,"0.0600310
0.00,"
27.506,"0.0600310
0.00,"
27.688,"0.0600310
-0.00,"
27.872,"0.0600310
0.00,"
28.055,"0.0600310
0.00,"
28.239,"0.0600310
-0.00,"
28.422,"0.0600310
0.00,"
28.606,"0.0600310
-0.00,"
28.788,"0.0600310
0.00,"
28.988,"0.0600310
-0.00,"
29.172,"0.0600310
-0.00,"
29.358,"0.0600310
-0.00,"
29.539,"0.0600310
0.00,"
29.722,"0.0600310
0.00,"
29.906,"0.0600310
0.00,"
