Test Time (s),F(kg)      millistrain
3.708,"-0.00,0.00,-0.0000164
-0.00,-0.0000164
-0.00,00,-0.0000145
0.00,-0.0000151
-0.00,-0.0000160
-0.00,-0.0000165
-0.00,-0.0000164
-0.00,-0.0000164
-0.00,-0.0000164
-0.00,-0.00,"
3.892,"-0.0000000
-0.00,"
4.075,"-0.0000005
0.00,"
4.258,"-0.0000013
-0.00,"
4.442,"-0.0000027
0.00,"
4.625,"-0.0000031
0.00,"
4.809,"-0.0000039
0.00,"
5.008,"-0.0000054
-0.00,"
5.192,"-0.0000067
-0.00,"
5.376,"-0.0000086
-0.00,"
5.558,"-0.0000098
0.00,"
5.743,"-0.0000112
0.00,"
5.926,"-0.0000110
-0.00,"
6.109,"-0.0000122
-0.00,"
6.292,"-0.0000129
-0.00,"
6.476,"-0.0000138
-0.00,"
6.659,"-0.0000147
-0.00,"
6.842,"-0.0000143
-0.00,"
7.026,"-0.0000146
-0.00,"
7.208,"-0.0000141
-0.00,"
7.393,"-0.0000145
0.00,"
7.576,"-0.0000140
-0.00,"
7.758,"-0.0000142
0.00,"
7.942,"-0.0000143
-0.00,"
8.142,"-0.0000141
-0.00,"
8.326,"-0.0000148
-0.00,"
8.509,"-0.0000149
-0.00,"
8.692,"-0.0000157
-0.00,"
8.875,"-0.0000157
-0.00,"
9.059,"-0.0000156
-0.00,"
9.243,"-0.0000152
0.00,"
9.426,"-0.0000151
0.00,"
9.609,"-0.0000157
-0.00,"
9.793,"-0.0000144
0.00,"
9.976,"-0.0000137
0.00,"
10.159,"-0.0000117
-0.00,"
10.343,"-0.0000109
-0.00,"
10.527,"-0.0000100
-0.00,"
10.709,"-0.0000084
-0.00,"
10.893,"-0.0000077
-0.00,"
11.076,"-0.0000068
0.00,"
11.259,"-0.0000057
-0"
11.36,".00,-0.0000052
"
11.543,"0.00,-0.0000046
"
11.726,"-0.00,-0.0000038
"
11.91,"-0.00,-0.0000032
"
12.093,"0.00,-0.0000026
"
12.277,"0.00,-0.0000020
"
12.46,"0.00,-0.0000015
"
12.644,"-0.00,-0.0000008
"
12.827,"-0.00,0.0000002
"
13.009,"-0.00,0.0000007
"
13.194,"-0.00,0.0000014
"
13.393,"0.00,0.0000018
"
13.576,"0.00,0.0000022
"
13.76,"-0.00,0.0000022
"
13.944,"0.00,0.0000033
"
14.127,"-0.00,0.0000033
"
14.31,"-0.00,0.0000039
"
14.494,"-0.00,0.0000044
"
14.677,"0.00,0.0000049
"
14.86,"-0.00,0.0000055
"
15.043,"0.00,0.0000059
"
15.227,"-0.00,0.0000057
"
15.41,"-0.00,0.0000062
"
15.593,"-0.00,0.0000069
"
15.777,"0.00,0.0000071
"
15.961,"0.00,0.0000068
"
16.143,"0.00,0.0000058
"
16.327,"-0.00,0.0000044
"
16.51,"-0.00,0.0000039"
16.694,"
0.00,0.0000032"
16.877,"
-0.00,0.0000020"
17.061,"
-0.00,0.0000009"
17.26,"
-0.00,-0.0000008
"
17.443,"-0.00,-0.0000022
"
17.627,"-0.00,-0.0000040
"
17.81,"-0.00,-0.0000048
"
17.994,"-0.00,-0.0000058
"
18.177,"-0.00,-0.0000073
"
18.361,"0.00,-0.0000085
"
18.544,"-0.00,-0.0000095
"
18.728,"0.00,-0.0000099
"
18.91,"0.00,-0.0000103
"
19.093,"-0.00,-0.0000110
"
19.278,"0.00,-0.0000112
"
19.461,"0.00,-0.0000118
"
19.644,"-0.00,-0.0000119
"
19.828,"-0.00,-0.0000114
"
20.012,"0.00,-0.0000117
"
20.194,"-0.00,-0.0000117
"
20.394,"-0.00,-0.0000117
"
20.577,"-0.00,-0.0000124
"
20.762,"-0.00,-0.0000132
"
20.945,"0.00,-0.0000133
"
21.128,"-0.00,-0.0000140
"
21.311,"0.00,-0.0000153
"
21.495,"-0.00,-0.0000149
"
21.678,"0.00,-0.0000156
"
21.862,"0.00,-0.0000164
"
22.045,"0.00,-0.0000164
"
22.228,"-0.00,-0.0000164
"
22.411,"-0.00,-0.0000165
"
22.595,"0.00,-0.0000162
"
22.778,"0.00,-0.0000162
"
22.961,"0.00,-0.0000175
"
23.144,"0.00,-0.0000173
"
23.329,"-0.00,-0.0000185
"
23.512,"0.00,-0.0000170
"
23.711,"-0.00,-0.0000175
"
23.895,"-0.00,-0.0000172
"
24.078,"-0.00,-0.0000160
"
24.262,"0.00,-0.0000155
"
24.445,"-0.00,-0.0000161
"
24.628,"0.00,-0.0000162
"
24.811,"-0.00,-0.0000158
"
24.995,"0.00,-0.0000156
"
25.179,"-0.00,-0.0000150
"
25.361,"0.00,0.0000227
"
25.544,"0.52,0.0009501
"
25.728,"3.54,0.0012727
"
25.911,"3.95,0.0011945
"
26.095,"3.91,0.0011534
"
26.278,"3.90,0.0011451
"
26.462,"4.28,0.0022522
"
26.645,"9.10,0.0034716
"
26.828,"13.30,0.0032643
"
27.012,"13.87,0.0028695
"
27.195,"13.80,0.0026430"
27.379,"
13.77,0.0024835"
27.562,"
13.86,0.0030093
"
27.762,"17.31,0.0040818
"
27.945,"22.54,0.0037298
"
28.129,"23.80,0.0030779
"
28.312,"23.70,0.0027230
"
28.495,"23.64,0.0024922
"
28.679,"23.60,0.0025323
"
28.863,"25.17,0.0033531
"
29.046,"29.69,0.0036709
"
29.229,"33.16,0.0030397
"
29.413,"33.18,0.0026177
"
29.596,"33.05,0.0023595
"
29.779,"32.96,0.0021731
"
29.962,"32.88,0.0021706
"
30.146,"34.09,0.0030438
"
30.329,"38.61,0.0034930
"
30.513,"41.80,0.0029193
"
30.696,"41.55,0.0025206
"
30.879,"41.27,0.0022730
"
31.079,"41.07,0.0020918
"
31.263,"40.91,0.0019825
"
31.447,"41.16,0.0025415
"
31.629,"43.12,0.0028373
"
31.813,"46.10,0.0030290
"
31.995,"48.33,0.0025967
"
32.179,"47.55,0.0022392
"
32.363,"46.93,0.0020001
"
32.546,"46.50,0.0018217
"
32.729,"46.16,0.0017534
"
32.913,"46.75,0.0021754
"
33.096,"49.38,0.0026323
"
33.28,"51.78,0.0025632
"
33.462,"51.02,0.0021353
"
33.646,"49.80,0.0018544
"
33.83,"49.01,0.0016626
"
34.013,"48.42,0.0015588
"
34.197,"48.45,0.0018493
"
34.397,"50.71,0.0021746
"
34.563,"52.53,0.002215"
34.747,"4
51.67,0.0019081"
34.931,"
50.07,0.0016719"
35.117,"
49.03,0.0015152"
35.314,"
48.28,0.0013812
"
35.498,"47.68,0.0013503
"
35.679,"48.26,0.0018019
"
35.864,"50.58,0.0020252
"
36.047,"51.39,0.0019410
"
36.23,"49.75,0.0017022
"
36.414,"48.29,0.0015663
"
36.597,"47.30,0.0014390
"
36.78,"46.54,0.0013718
"
36.964,"46.23,0.0015454
"
37.149,"48.24,0.0018632
"
37.33,"49.73,0.0018802
"
37.514,"48.37,0.0014765
"
37.697,"45.94,0.0012214
"
37.881,"43.85,0.0010663
"
38.064,"41.06,0.0008722
"
38.263,"38.04,0.0005813
"
38.447,"34.96,0.0257594
"
38.63,"7.13,0.0595517
"
38.814,"0.02,0.0595517
"
38.997,"0.01,0.0595517
"
39.18,"0.01,0.0595517
"
39.364,"0.01,0.0595517
"
39.548,"0.01,0.0595517
"
39.73,"0.01,0.0595517
"
39.913,"0.01,0.0595517
"
40.097,"0.01,0.0595517
"
40.28,"0.01,0.0595517
"
40.464,"0.00,0.0595517
"
40.651,"0.01,0.0595517
"
40.831,"0.01,0.0595517
"
41.014,"0.01,0.0595517
"
41.199,"0.00,0.0595517
"
41.381,"0.01,0.0595517
"
41.565,"0.00,0.0595517
"
41.764,"0.01,0.0595517
"
41.948,"0.01,0.0595517
"
42.131,"0.01,0.0595517
"
42.315,"0.00,0.0595517
"
42.498,"0.00,0.0595517
"
42.681,"0.00,0.0595517
"
