Test Time (s),Data (kg)
0.765,"00
000.00
000.00
000.00
000.00
000.00
000.00
000.00
000.00
000.00
000.00
000.00
000.00
000.00
000.00
000.00
000.00
000.00
000.00
000.00
000.00
000.00
000.00
000.00
000.00
000.00
000.00
000.00
000.00
000.00
000.00
000.00
"
4.258,"00-0.00
"
4.455,"000.00
"
4.639,"00-0.00
"
4.841,"000.00
"
5.022,"000.00
"
5.223,"00-0.00
"
5.423,"00-0.00
"
5.605,"000.00
"
5.804,"000.00
"
5.99,"00-0.00
"
6.187,"000.00
"
6.374,"00-0.00
"
6.572,"00-0.00
"
6.772,"000.00
"
6.954,"000.00
"
7.155,"000.00
"
7.341,"000.00
"
7.539,"00-0.00
"
7.722,"00-0.00
"
7.919,"00-0.00
"
8.119,"00-0.00
"
8.303,"00-0.00
"
8.5,"00-0.00
"
8.684,"00-0.00
"
8.885,"00-0.00
"
9.07,"000.00
"
9.27,"00-0.00
"
9.454,"000.00
"
9.651,"000.00
"
9.852,"00-0.00
"
10.037,"00-0.00
"
10.236,"00-0.00
"
10.419,"00-0.00
"
10.621,"00-0.00
"
10.802,"000.00
"
11.003,"000.11
"
11.203,"001.61
"
11.385,"003.10
"
11.571,"003.92
"
11.769,"003.78
"
11.969,"003.71
"
12.154,"003.67
"
12.351,"003.61
"
12.536,"004.84
"
12.738,"008.25
"
12.937,"0011.00
"
13.118,"013.34
"
13.319,"015.84
"
13.504,"018.41
"
13.702,"020.92
"
13.888,"023.29
"
14.086,"025.11
"
14.287,"06.68
"
14.469,"003.84
"
14.67,"001.94
"
14.852,"001.88
"
15.054,"001.85
"
15.236,"001.82
"
15.435,"001.69
"
15.619,"001.69
"
15.818,"001.70
"
16.003,"001.71
"
16.203,"001.71
"
16.402,"001.71
"
16.585,"001.71
"
