Test Time (s),F(kg)      millistrain
0.528,������t������>�v���
3.953,"002.81,000.00210
"
4.151,"003.92,000.00281
"
4.354,"005.01,000.00340
"
4.549,"005.98,000.00403
"
4.753,"006.72,000.00415
"
4.952,"006.81,000.00403
"
5.15,"006.77,000.00408
"
5.35,"006.74,000.00406
"
5.566,"006.72,000.00410
"
5.766,"006.70,000.00406
"
5.967,"006.69,000.00414
"
6.167,"007.32,000.00476
"
6.367,"008.49,000.00563
"
6.567,"009.84,000.02302
"
6.767,"011.05,000.02915
"
6.968,"012.17,000.02915
"
7.169,"013.01,000.02915
"
7.383,"013.52,000.02915
"
7.583,"013.52,000.02915
"
7.783,"013.48,000.02915
"
7.983,"013.42,000.02915
"
8.183,"013.39,000.02915
"
8.384,"013.36,000.02915
"
8.587,"013.33,000.02915
"
8.784,"013.32,000.0291"
9.002,"5
013.82,000.02915
"
9.202,"014.67,000.02915
"
9.403,"015.68,000.02915
"
9.6,"016.76,000.02915
"
9.801,"017.80,000.02915
"
10.002,"018.69,000.02915
"
10.201,"019.70,000.02915
"
10.4,"019.77,000.02915
"
10.603,"019.68,000.02915
"
10.818,"019.62,000.02915
"
11.019,"019.56,000.02915
"
11.22,"019.52,000.02915
"
11.419,"019.48,000.02915
"
11.618,"019.43,000.02915
"
11.818,"019.42,000.02915
"
12.017,"020.03,000.02915"
12.219,"
021.43,000.02915
"
12.436,"022.19,000.02915
"
12.636,"023.10,000.02915
"
12.835,"024.17,000.02915
"
13.037,"024.97,000.02915
"
13.233,"025.39,000.02915
"
13.437,"025.44,000.02915
"
13.637,"025.28,000.02915
"
13.836,"025.15,000.02915
"
14.036,"025.03,000.02915"
14.251,"
024.90,000.02915
"
14.453,"024.82,000.02915
"
14.651,"024.75,000.02915
"
14.854,"024.73,000.02915
"
15.053,"025.22,000.02915
"
15.254,"025.86,000.02915
"
15.451,"026.67,000.02915
"
15.653,"027.48,000.02915
"
15.853,"028.15,000.02915
"
16.053,"028.72,000.02915"
16.27,"
029.17,000.02915
"
16.47,"029.72,000.02915
"
16.67,"029.45,000.02915
"
16.87,"029.18,000.02915
"
17.07,"028.97,000.02915
"
17.267,"028.78,000.02915
"
17.47,"028.62,000.02915
"
17.671,"028.47,000.02915
"
17.884,"028.35,000.02915
"
18.088,"028.38,000.02915
"
18.287,"028.79,000.02915
"
18.487,"029.52,000.02915
"
18.684,"029.96,000.02915
"
18.887,"030.42,000.02915
"
19.087,"030.84,000.02915
"
19.285,"031.26,000.02915"
19.504,"
031.70,000.02915
"
19.701,"031.95,000.02915
"
19.905,"031.93,000.02915
"
20.104,"031.60,000.02915
"
20.3,"031.14,000.02915
"
20.505,"030.59,000.02915
"
20.701,"030.28,000.02915
"
20.921,"030.01,000.02915
"
21.117,"029.76,000.02915
"
21.318,"029.58,000.02915
"
21.519,"029.94,000.02915
"
21.718,"030.37,000.02915
"
21.919,"030.82,000.02915
"
22.121,"031.18,000.02915
"
22.318,"031.31,000.02915
"
22.518,"031.43,000.02915"
22.736,"
031.40,000.02915
"
22.938,"031.07,000.02915
"
23.136,"030.15,000.02915
"
23.335,"029.28,000.02915
"
23.537,"028.57,000.02915
"
23.738,"027.98,000.02915
"
23.937,"027.47,000.02915
"
24.138,"027.03,000.02915
"
24.339,"026.64,000.02915
"
24.555,"026.46,000.02915
"
24.752,"027.13,000.02915
"
24.955,"027.31,000.02915
"
25.151,"027.19,000.02915
"
25.352,"026.95,000.02915
"
25.554,"026.56,000.02915
"
25.752,"024.31,000.02915
"
25.952,"00.22,000.02915
"
26.172,"00-0.94,000.02915
"
26.372,"00-0.95,000.02915
"
26.569,"00-0.94,000.02915
"
26.771,"00-0.94,000.02915
"
26.968,"00-0.94,000.02915
"
27.17,"00-0.94,000.02915
"
27.372,"00-0.94,000.02915
"
27.569,"00-0.94,000.02915
"
