Test Time (s),F(kg)      millistrain
3.899,001.02,000.00000
4.101,001.02,000.00000
4.3,001.01,000.00000
4.501,001.23,000.00000
4.702,001.74,000.00000
5.116,002.91,000.00000
5.317,002.98,000.00000
5.518,002.90,000.00000
5.718,002.86,000.00000
5.915,002.83,000.00000
6.115,002.81,000.00000
6.333,002.79,000.00000
6.533,002.78,000.00000
6.735,003.08,000.00000
6.934,003.41,000.00000
7.134,003.68,000.00000
7.334,003.76,000.00000
7.533,003.68,000.00000
7.733,003.53,000.00000
7.933,003.43,000.00000
8.151,003.37,000.00000
8.349,003.32,000.00000
8.55,003.28,000.00000
8.752,003.56,000.00000
8.95,003.83,000.00000
9.151,000.23,000.00000
9.35,003.57,000.00000
9.55,003.34,000.00000
9.75,003.16,000.00000
9.95,003.05,000.000
10.367,002.91,000.00000
10.567,003.01,000.00000
10.767,003.37,000.00000
10.967,003.23,000.00000
11.167,002.87,000.00000
11.367,002.49,000.00000
11.567,002.34,000.00000
11.767,002.24,000.00000
11.985,002.17,000.00000
12.184,002.12,000.00000
12.383,002.12,000.00000
12.584,002.44,000.00000
12.786,002.37,000.00000
12.986,001.98,000.00000
13.185,001.71,000.00000
13.4,001.44,000.00000
13.585,001.37,000.00000
13.801,001.32,000.00000
14.0,001.27,000.00000
14.2,001.25,000.00000
14.4,001.44,000.00000
14.604,001.46,000.00000
14.8,001.21,000.00000
15.019,000.98,000.00000
15.217,000.79,000.00000
15.417,000.71,000.00000
15.619,000.64,000.00000
15.817,000.61,000.00000
16.019,000.58,000.00000
16.22,000.64,000.00000
16.42,000.77,000.00000
16.618,000.75,000.00000
16.82,000.63,000.00000
17.037,000.50,000.00000
17.237,000.40,000.00000
17.436,000.35,000.00000
17.635,000.30,000.00000
17.833,000.28,000.00000
18.036,000.30,000.00000
18.237,000.42,000.00000
18.434,000.43,000.000
18.851,000.32,000.00000
19.053,000.20,000.00000
19.253,000.15,000.00000
19.453,000.12,000.00000
19.653,000.08,000.00000
19.85,000.07,000.00000
20.052,000.17,000.00000
20.252,000.22,000.00000
20.453,000.21,000.0000
20.87,000.06,000.00000
21.067,000.01,000.00000
21.268,000.02,000.00000
21.467,000.04,000.00000
21.669,000.05,000.00000
21.886,000.03,000.00000
22.084,000.06,000.00000
22.27,000.06,000.00000
22.484,000.02,000.00000
22.685,000.02,000.00000
22.884,000.10,000.00000
23.087,000.14,000.00000
23.284,000.16,000.00000
23.484,000.18,000.00000
23.684,000.19,000.00000
23.903,000.13,000.00000
24.101,000.08,000.00000
24.305,000.09,000.00000
24.503,000.11,000.00000
24.703,000.15,000.00000
24.903,000.22,000.00000
25.103,000.24,000.00000
25.303,000.26,000.00000
25.503,000.27,000.00000
25.705,000.28,000.00
