Test Time (s),F(kg)      millistrain
0.22,"0.00,.00,0.0000140
0.00,0.0000133
0,0.0000127
-0.00,0.0000130
-0.00,0.0000131
0.00,0.0000133
0.00,0.0000131
0.00,0.0000135
-0.00,0.0000140
0.00,0.0000133
"
3.561,"0.00,0.0000003
"
3.746,"-0.00,0.0000005
"
3.945,"0.00,0.0000003
"
4.129,"0.00,0.0000004
"
4.312,"0.00,0.0000003
"
4.496,"0.00,0.0000007
"
4.678,"0.00,0.0000012
"
4.862,"0.00,0.0000016
"
5.046,"0.00,0.0000019
"
5.228,"0.00,0.0000020
"
5.411,"0.00,0.0000028
"
5.595,"-0.00,0.0000025
"
5.78,"0.00,0.0000032
"
5.962,"0.00,0.0000031
"
6.145,"0.00,0.0000026
"
6.328,"0.00,0.0000022
"
6.529,"-0.00,0.0000019
"
6.712,"0.00,0.0000031
"
6.895,"0.00,0.0000021
"
7.079,"0.00,0.0000022
"
7.262,"-0.00,0.0000026
"
7.446,"0.00,0.0000026
"
7.63,"0.00,0.0000022
"
7.812,"-0.00,0.0000023
"
7.995,"-0.00,0.0000026
"
8.178,"0.00,0.0000027
"
8.362,"-0.00,0.0000031
"
8.546,"-0.00,0.0000031
"
8.729,"-0.00,0.0000037
"
8.929,"-0.00,0.0000037
"
9.112,"0.00,0.0000043
"
9.296,"-0.00,0.0000080
"
9.478,"0.26,0.0005559
"
9.662,"2.31,0.0007696
"
9.846,"2.39,0.0007393
"
10.03,"2.38,0.0007269
"
10.214,"2.59,0.0012647
"
10.396,"6.13,0.0028639
"
10.579,"11.40,0.0033104
"
10.763,"12.06,0.0031462
"
10.945,"12.00,0.0030528
"
11.13,"11.97,0.0030003
"
11.329,"12.38,0.0035830
"
11.513,"15.83,0.0046980
"
11.696,"19.60,0.0050354
"
11.88,"20.83,0.0047834
"
12.062,"20.74,0.0046050
"
12.246,"20.69,0.0044832
"
12.43,"20.64,0.0044071
"
12.613,"21.09,0.0050577
"
12.796,"24.86,0.0058868
"
12.98,"28.19,0.0058079
"
13.163,"28.99,0.0120551
"
13.347,"28.82,0.0602394
"
13.529,"28.70,0.0602394
"
13.73,"28.60,0.0602394
"
13.912,"29.73,0.0602394
"
14.096,"33.20,0.0602394
"
14.279,"35.70,0.0602394
"
14.463,"35.29,0.0602394
"
14.646,"34.77,0.0602394
"
14.83,"34.40,0.0602394
"
15.013,"34.10,0.0602394
"
15.196,"34.85,0.0602394
"
15.38,"36.98,0.0602394
"
15.562,"38.57,0.0602394
"
15.746,"38.53,0.0602394
"
15.929,"37.19,0.0602394
"
16.129,"36.27,0.0602394
"
16.313,"35.59,0.0602394
"
16.497,"35.10,0.0602394
"
16.679,"36.38,0.0602394
"
16.863,"38.46,0.0602394
"
17.046,"5.60,0.0602394
"
17.229,"0.01,0.0602394
"
17.412,"-11.70,0.0602394
"
17.596,"0.01,0.0602394
"
17.78,"0.00,0.0602394
"
17.963,"0.00,0.0602394
"
18.147,"0.01,0.0602394"
18.33,"
0.00,0.0602394"
18.53,"
0.00,0.0602394
"
18.714,"0.01,0.0602394
"
18.897,"0.00,0.0602394
"
19.081,"0.00,0.0602394
"
19.263,"0.00,0.0602394
"
19.447,"0.00,0.0602394
"
19.629,"0.00,0.0602394
"
19.812,"0.01,0.0602394
"
19.997,"0.00,0.0602394
"
20.181,"0.00,0.0602394
"
20.364,"0.00,0.0602394"
20.546,"
0.00,0.060239"
20.746,"4
0.00,0.0602394
"
20.93,"0.00,0.0602394
"
21.113,"0.00,0.0602394
"
21.297,"0.01,0.0602394
"
21.481,"0.00,0.0602394
"
21.663,"0.00,0.0602394
"
21.847,"-0.00,0.0602394
"
22.03,"0.00,0.0602394
"
22.214,"0.00,0.0602394
"
22.397,"-0.00,0.0602394
"
22.581,"0.00,0.0602394
"
22.763,"0.00,0.0602394"
22.964,"
0.00,0.0602394
"
23.147,"0.00,0.0602394
"
23.33,"-0.00,0.0602394
"
25.814,"0.00,0.0602394
"
25.997,"0.00,0.0573881
"
26.197,"0.00,0.0602394
"
26.381,"0.00,0.0602394
"
26.564,"-0.00,0.0602394
"
26.747,"0.00,0.0602394
"
26.931,"-0.00,0.0602394
"
27.113,"0.00,0.0602394
"
27.297,"0.00,0.0602394
"
27.481,"-0.00,0.0602394
"
27.664,"0.00,0.0602394
"
27.848,"-0.00,0.0602394
"
28.031,"-0.00,0.0602394
"
28.214,"-0.00,0.0602394
"
28.398,"-0.00,0.0602394
"
28.581,"-0.00,0.0602394
"
28.782,"-0.00,0.0602394
"
28.964,"-0.00,0.0602394
"
29.148,"-0.00,0.0602394
"
29.33,"-0.00,0.0602394
"
29.515,"-0.00,0.0602394
"
29.698,"-0.00,0.0602394
"
29.882,"0.00,0.0602394
"
30.065,"-0.00,0.0602394
"
30.248,"-0.00,0.0602394
"
30.43,"-0.00,0.0602394
"
30.614,"-0.00,0.0602394
"
30.798,"-0.00,0.0602394
"
30.981,"0.00,0.0602394
"
31.18,"-0.00,0.0602394
"
31.364,"-0.00,0.0602394
"
31.548,"0.00,0.0602394
"
31.764,"-0.00,0.0602394
"
