Test Time (s),F(kg)      millistrain
3.476,"0.0001319
,0.0002052
-0.01,0.0002094
-0.00,0.0002131
-0.01,0.0002177
-0.01,0.0002216
-0.00,"
3.659,"0.0000118
-0.00,"
3.842,"0.0000139
0.00,"
4.025,"0.0000182
-0.00,"
4.226,"0.0000224
-0.00,"
4.409,"0.0000285
-0.00,"
4.594,"0.0002983
0.61,"
4.775,"0.0017270
3.66,"
4.959,"0.0032160
7.43,"
5.143,"0.0038655
10.11,"
5.326,"0.0034796
10.15,"
5.51,"0.0032615
10.11,"
5.693,"0.0031204
10.09,"
5.875,"0.0030152
10.07,"
6.059,"0.0029346
10.06,"
6.243,"0.0032034
10.92,"
6.426,"0.0042550
13.86,"
6.61,"0.0052282
17.66,"
6.81,"0.0054541
19.97,"
6.993,"0.0050811
20.50,"
7.175,"0.0046898
20.43,"
7.359,"0.0044429
20.38,"
7.543,"0.0042641
20.35,"
7.725,"0.0041264
20.32,"
7.909,"0.0042864
20.29,"
8.093,"0.0563529
21.86,"
8.277,"0.0632899
26.54,"
8.46,"0.0632899
29.76,"
8.643,"0.0632899
29.97,"
8.826,"0.0632899
29.81,"
9.026,"0.0632899
29.69,"
9.209,"0.0632899
29.59,"
9.393,"0.0632899
29.54,"
9.576,"0.0632899
31.49,"
9.759,"0.0632899
35.61,"
9.943,"0.0632899
37.52,"
10.125,"0.0632899
36.79,"
10.31,"0.0632899
36.16,"
10.493,"0.0632899
35.70,"
10.677,"0.0632899
35.32,"
10.86,"0.0632899
35.18,"
11.043,"0.0632899
37.3"
11.243,"0,0.0632899
39.65,"
11.426,"0.0632899
39.71,"
11.61,"0.0632899
38.06,"
11.793,"0.0632899
36.83,"
11.976,"0.0632899
36.00,"
12.16,"0.0632899
35.38,"
12.344,"0.0632899
34.87,"
12.526,"0.0632899
34.46,"
12.71,"0.0632899
34.72,"
12.893,"0.0632899
36.79,"
13.093,"0.0632899
37.66,"
13.276,"0.0632899
19.10,"
13.46,"0.0632899
-0.27,"
13.643,"0.0632899
-0.27,"
13.826,"0.0632899
-0.27,"
14.01,"0.0632899
-0.28,"
14.193,"0.0632899
-0.27,"
14.377,"0.0632899
-0.27,"
14.56,"0.0632899
-0.28,"
14.744,"0.0632899
-0.28,"
14.926,"0.0632899
-0.28,"
15.11,"0.0632899
-0.28,"
15.294,"0.0632899
-0.28,"
15.477,"0.0632899
-0.28,"
15.676,"0.0632899
-0.28,"
15.86,"0.0632899
-0.28,"
16.043,"0.0632899
-0.28,"
16.226,"0.0632899
-0.28,"
16.41,"0.0632899
-0.28,"
16.594,"0.0632899
-0.28,"
16.777,"0.0632899
-0.28,"
16.96,"0.0632899
-0.28,"
17.143,"0.0632899
-0.28,"
17.327,"0.0632899
-0.28,"
17.511,"0.0632899
-0.28,"
