Test Time (s),F(kg)      millistrain
3.486,"0.0000046
,0.0000034
-0.00,0.0000039
-0.00,0.0000039
0.00,0.0000044
0.00,0.0000044
0.00,0.78,"
3.67,"0.0011888
1.71,"
3.853,"0.0012126
1.72,"
4.037,"0.0012034
1.71,"
4.22,"0.0012008
1.70,"
4.403,"0.0012090
1.69,"
4.586,"0.0012015
1.68,"
4.786,"0.0011958
1.68,"
4.97,"0.0011913
1.68,"
5.153,"0.0011879
1.68,"
5.337,"0.0012201
1.74,"
5.52,"0.0016982
2.50,"
5.704,"0.0031775
4.65,"
5.886,"0.0046144
6.70,"
6.07,"0.0061902
8.87,"
6.253,"0.0068160
9.61,"
6.436,"0.0068464
9.62,"
6.62,"0.0068280
9.59,"
6.804,"0.0068146
9.57,"
6.986,"0.0068031
9.55,"
7.186,"0.0067959
9.53,"
7.37,"0.0073212
10.40,"
7.554,"0.0100742
13.63,"
7.736,"0.0550140
16.59,"
7.919,"0.0585225
17.59,"
8.103,"0.0585225
17.54,"
8.286,"0.0585225
17.48,"
8.471,"0.0585225
17.45,"
8.67,"0.0585225
17.41,"
8.853,"0.0585225
17.49,"
9.038,"0.0585225
19.92,"
9.219,"0.0585225
23.43,"
9.403,"0.0585225
25.14,"
9.588,"0.0585225
25.38,"
9.771,"0.0585225
25.26,"
9.954,"0.0585225
25.15,"
10.137,"0.0585225
25.07,"
10.321,"0.0585225
25.00,"
10.502,"0.0585225
25.05,"
10.688,"0.0585225
27.31,"
10.888,"0.0585225
30.41,"
11.07,"0.0585225
32.09,"
11.254,"0.0585225
31.94,"
11.438,"0.0585225
31.62,"
11.62,"0.0585225
31.39,"
11.803,"0.0585225
31.21,"
11.988,"0.0585225
31.10,"
12.171,"0.0585225
32.76,"
12.354,"0.0585225
35.83,"
12.538,"0.0585225
36.76,"
12.721,"0.0585225
35.83,"
12.92,"0.0585225
35.20,"
13.104,"0.0585225
34.76,"
13.287,"0.0585225
34.42,"
13.471,"0.0585225
34.12,"
13.655,"0.0585225
34.04,"
13.837,"0.0585225
35.29,"
14.02,"0.0585225
36.95,"
14.204,"0.0585225
38.49,"
14.387,"0.0585225
37.82,"
14.571,"0.0585225
36.70"
14.772,",0.0585225
35.96,"
14.955,"0.0585225
35.43,"
15.137,"0.0585225
35.00,"
15.321,"0.0585225
34.82,"
15.504,"0.0585225
36.13,"
15.688,"0.0585225
37.86,"
15.871,"0.0585225
38.66,"
16.055,"0.0585225
37.13,"
16.238,"0.0585225
35.88,"
16.421,"0.0585225
35.03,"
16.604,"0.0585225
34.39,"
16.804,"0.0585225
33.88,"
16.987,"0.0585225
33.86,"
17.171,"0.0585225
35.69,"
17.355,"0.0585225
37.12,"
17.537,"0.0585225
36.30,"
17.72,"0.0585225
22.90,"
17.904,"0.0581077
0.02,"
18.088,"0.0585225
0.00,"
18.271,"0.0585225
0.01,"
18.471,"0.0585225
0.00,"
18.654,"0.0585225
0.01,"
18.838,"0.0585225
0.01,"
19.021,"0.0585225
0.00,"
19.205,"0.0585225
0.00,"
19.388,"0.0585225
0.00,"
19.572,"0.0585225
0.01,"
19.754,"0.0585225
0.01,"
19.938,"0.0585225
0.00,"
20.121,"0.0585225
0.00,"
20.305,"0.0585225
0.00,"
20.488,"0.0585225
0.00,"
20.672,"0.0585225
-0.00,"
20.871,"0.0585225
0.00,"
21.055,"0.0585225
0.00,"
21.238,"0.0585225
0.00,"
21.422,"0.0585225
0.00,"
21.605,"0.0585225
0.00,"
21.788,"0.0585225
0.00,"
21.972,"0.0585225
0.00,"
22.155,"0.0585225
0.00,"
22.338,"0.0585225
0.00,"
