Test Time (s),F(kg)      millistrain
3.89,003.44,000.00039
4.091,003.43,000.00039
4.292,003.42,000.00039
4.492,003.40,000.00041
4.693,003.71,000.00107
4.893,005.03,000.00204
5.11,006.43,000.00310
5.31,007.89,000.00419
5.51,009.31,000.00507
5.709,0010.33,000.00562
5.91,010.93,000.00570
6.11,010.94,000.00569
6.31,010.92,000.00569
6.51,010.88,000.00569
6.727,010.87,000.00569
6.927,010.85,000.00571
7.127,010.99,000.00623
7.327,011.97,000.00724
7.524,013.45,000.00855
7.725,015.03,000.00968
7.927,016.37,000.01049
8.124,017.27,000.01078
8.343,017.51,000.01077
8.541,017.44,000.01077
8.728,017.41,000.01077
8.942,017.41,000.01075
9.144,017.36,000.01087
9.344,017.76,000.01165
9.542,018.80,000.01251
9.74,019.86,000.01335
9.944,021.14,000.01426
10.142,022.52,000.01523
10.36,023.61,000.01579
10.56,024.23,000.01589
10.76,024.14,000.01588
10.959,024.06,000.01588
11.157,024.00,000.01588
11.36,023.95,000.01588
11.575,023.90,000.01590
11.76,023.95,000.01643
11.975,024.79,000.01728
12.175,025.78,000.01819
12.376,026.90,000.01923
12.578,028.49,000.02010
12.777,029.18,000.02074
12.978,029.56,000.02119
13.174,029.72,000.02131
13.375,029.53,000.02133
13.594,029.37,000.02134
13.791,029.24,000.02136
13.994,029.14,000.02139
14.192,029.04,000.02180
14.392,029.67,000.02294
14.592,030.81,000.02400
14.795,032.22,000.02511
14.993,032.95,000.02603
15.194,033.33,000.02670
15.393,033.51,000.02714
15.61,033.23,000.02724
15.811,032.86,000.02734
16.011,032.58,000.02745
16.211,032.35,000.02757
16.412,032.10,000.02779
16.607,032.20,000.02864
16.811,033.26,000.02968
17.025,034.11,000.03098
17.228,034.90,000.03230
17.428,035.38,000.03342
17.624,035.50,000.03409
17.828,034.84,000.03434
18.028,034.26,000.03457
18.228,033.82,000.03478
18.425,033.46,000.03498
18.629,033.13,000.03544
18.827,033.73,000.03656
19.243,035.25,000.05566
19.442,035.66,000.06103
19.642,035.65,000.06103
19.842,035.32,000.06103
20.042,034.53,000.06103
20.242,033.95,000.06103
20.443,033.49,000.06103
20.662,033.11,000.06103
20.86,032.81,000.06103
21.059,033.93,000.06103
21.259,034.93,000.06103
21.46,035.31,000.06103
21.658,035.03,000.06103
21.859,034.58,000.06103
22.059,033.71,000.06103
22.276,033.04,000.06103
22.477,032.52,000.06103
22.679,032.10,000.06103
22.876,031.75,000.06103
23.078,031.46,000.06103
23.278,031.94,000.06103
23.476,032.17,000.06103
23.676,032.62,000.06103
23.877,033.22,000.06103
24.075,033.63,000.06103
24.293,033.68,000.06103
24.493,033.01,000.06103
24.693,032.22,000.06103
24.896,031.63,000.06103
25.093,030.96,000.06103
25.294,030.59,000.06103
25.494,030.36,000.06103
25.711,030.72,000.06103
25.894,030.80,000.06103
26.109,030.99,000.06103
26.31,031.35,000.06103
26.511,031.86,000.06103
26.711,032.40,000.06103
26.913,032.42,000.06103
27.111,031.61,000.06103
27.309,030.58,000.06103
27.508,030.06,000.061
27.928,029.27,000.06103
28.128,029.03,000.06103
28.329,029.47,000.06103
28.528,029.60,000.06103
28.727,029.85,000.06103
28.928,030.23,000.06103
29.126,030.56,000.06103
29.329,030.57,000.06103
29.546,030.38,000.06103
29.743,029.69,000.06103
29.946,028.99,000.06103
30.145,028.43,000.06103
30.344,027.96,000.06103
30.545,027.57,000.06103
30.746,027.22,000.06103
30.944,027.26,000.06103
31.162,027.78,000.06103
31.345,028.03,000.06103
31.763,028.23,000.06103
31.962,028.12,000.06103
32.161,027.51,000.06103
32.361,021.30,000.06103
32.562,000.18,000.06103
32.779,000.28,000.06103
32.977,000.28,000.06103
33.18,000.28,000.06103
33.379,000.28,000.06103
33.578,000.28,000.06103
33.776,000.28,000.06103
33.978,000.28,000.06103
34.179,000.28,000.06103
